[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit skipped

Set [dBm/2],paDutyCycle,paSlc,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        -13,          1,    5,        -15.30,          3.30,       1.06,      10.63,     35.06,          0.46
        -13,          1,    6,        -14.55,          3.30,       1.10,      10.99,     36.25,          0.47
        -13,          1,    7,        -13.94,          3.30,       1.14,      11.32,     37.34,          0.47
        -13,          2,    1,        -17.95,          3.30,       0.96,       9.56,     31.54,          1.08
        -13,          2,    2,        -16.36,          3.30,       1.00,      10.00,     32.97,          0.79
        -13,          2,    3,        -15.12,          3.30,       1.03,      10.35,     34.14,          0.75
        -13,          2,    4,        -14.19,          3.30,       1.08,      10.80,     35.61,          0.69
        -13,          2,    5,        -13.34,          3.30,       1.12,      11.20,     36.96,          0.67
        -13,          2,    6,        -12.74,          3.30,       1.15,      11.51,     37.97,          0.67
        -13,          2,    7,        -12.23,          3.30,       1.18,      11.84,     39.06,          0.66
        -13,          3,    1,        -15.04,          3.30,       1.01,      10.13,     33.42,          1.51
        -13,          3,    2,        -13.72,          3.30,       1.06,      10.61,     34.99,          1.16
        -13,          3,    3,        -12.70,          3.30,       1.11,      11.07,     36.54,          1.03
        -13,          3,    4,        -11.93,          3.30,       1.15,      11.50,     37.93,          0.97
        -13,          3,    5,        -11.31,          3.30,       1.19,      11.88,     39.20,          0.94
        -13,          3,    6,        -10.87,          3.30,       1.22,      12.22,     40.29,          0.91
        -13,          3,    7,        -10.42,          3.30,       1.26,      12.58,     41.49,          0.89
        -13,          4,    1,        -13.03,          3.30,       1.07,      10.65,     35.14,          1.89
        -13,          4,    2,        -11.93,          3.30,       1.12,      11.25,     37.10,          1.40
        -13,          4,    3,        -11.02,          3.30,       1.17,      11.73,     38.68,          1.28
        -13,          4,    4,        -10.34,          3.30,       1.22,      12.13,     40.02,          1.23
        -13,          4,    5,         -9.85,          3.30,       1.26,      12.56,     41.43,          1.16
        -13,          4,    6,         -9.38,          3.30,       1.29,      12.94,     42.70,          1.13
        -13,          4,    7,         -9.09,          3.30,       1.33,      13.34,     44.01,          1.07
        -13,          5,    1,        -11.07,          3.30,       1.14,      11.46,     37.81,          2.13
        -13,          5,    2,         -9.93,          3.30,       1.21,      12.06,     39.78,          1.80
        -13,          5,    3,         -9.20,          3.30,       1.26,      12.62,     41.63,          1.61
        -13,          5,    4,         -8.67,          3.30,       1.31,      13.09,     43.17,          1.51
        -13,          5,    5,         -8.23,          3.30,       1.35,      13.52,     44.59,          1.44
        -13,          5,    6,         -7.92,          3.30,       1.39,      13.89,     45.81,          1.38
        -13,          5,    7,         -7.62,          3.30,       1.43,      14.27,     47.08,          1.34
        -13,          6,    1,         -9.68,          3.30,       1.21,      12.13,     40.02,          3.03
        -13,          6,    2,         -8.63,          3.30,       1.28,      12.81,     42.24,          2.38
        -13,          6,    3,         -8.03,          3.30,       1.34,      13.39,     44.15,          2.05
        -13,          6,    4,         -7.54,          3.30,       1.39,      13.85,     45.67,          1.92
        -13,          6,    5,         -7.22,          3.30,       1.43,      14.30,     47.17,          1.77
        -13,          6,    6,         -6.86,          3.30,       1.48,      14.73,     48.57,          1.70
        -13,          6,    7,         -6.66,          3.30,       1.51,      15.14,     49.92,          1.60
        -13,          7,    1,         -8.54,          3.30,       1.29,      12.87,     42.44,          3.32
        -13,          7,    2,         -7.56,          3.30,       1.36,      13.62,     44.93,          2.62
        -13,          7,    3,         -6.99,          3.30,       1.43,      14.27,     47.07,          2.26
        -13,          7,    4,         -6.54,          3.30,       1.48,      14.78,     48.75,          2.11
        -13,          7,    5,         -6.21,          3.30,       1.53,      15.25,     50.28,          1.99
        -13,          7,    6,         -5.98,          3.30,       1.57,      15.66,     51.63,          1.88
        -13,          7,    7,         -5.76,          3.30,       1.61,      16.07,     53.00,          1.80
        -12,          1,    1,        -19.96,          3.30,       0.93,       9.29,     30.65,          0.60
        -12,          1,    2,        -18.33,          3.30,       0.97,       9.72,     32.08,          0.47
        -12,          1,    3,        -16.81,          3.30,       1.00,      10.05,     33.15,          0.50
        -12,          1,    4,        -15.72,          3.30,       1.04,      10.41,     34.35,          0.50
        -12,          1,    5,        -14.77,          3.30,       1.08,      10.74,     35.44,          0.52
        -12,          1,    6,        -14.04,          3.30,       1.11,      11.13,     36.71,          0.51
        -12,          1,    7,        -13.54,          3.30,       1.15,      11.46,     37.82,          0.50
        -12,          2,    1,        -17.52,          3.30,       0.97,       9.69,     31.97,          1.08
        -12,          2,    2,        -15.97,          3.30,       1.01,      10.11,     33.34,          0.84
        -12,          2,    3,        -14.68,          3.30,       1.05,      10.51,     34.69,          0.78
        -12,          2,    4,        -13.63,          3.30,       1.09,      10.90,     35.97,          0.77
        -12,          2,    5,        -12.91,          3.30,       1.13,      11.32,     37.34,          0.73
        -12,          2,    6,        -12.29,          3.30,       1.17,      11.67,     38.50,          0.72
        -12,          2,    7,        -11.77,          3.30,       1.20,      12.00,     39.58,          0.72
        -12,          3,    1,        -14.64,          3.30,       1.02,      10.23,     33.75,          1.76
        -12,          3,    2,        -13.27,          3.30,       1.07,      10.74,     35.46,          1.29
        -12,          3,    3,        -12.15,          3.30,       1.13,      11.25,     37.12,          1.15
        -12,          3,    4,        -11.49,          3.30,       1.17,      11.65,     38.45,          1.07
        -12,          3,    5,        -10.86,          3.30,       1.21,      12.06,     39.78,          1.03
        -12,          3,    6,        -10.38,          3.30,       1.24,      12.42,     40.99,          1.00
        -12,          3,    7,         -9.98,          3.30,       1.28,      12.80,     42.23,          0.96
        -12,          4,    1,        -12.62,          3.30,       1.08,      10.82,     35.68,          2.02
        -12,          4,    2,        -11.47,          3.30,       1.14,      11.41,     37.63,          1.53
        -12,          4,    3,        -10.56,          3.30,       1.19,      11.92,     39.32,          1.38
        -12,          4,    4,         -9.89,          3.30,       1.23,      12.33,     40.68,          1.33
        -12,          4,    5,         -9.40,          3.30,       1.28,      12.79,     42.20,          1.25
        -12,          4,    6,         -8.91,          3.30,       1.32,      13.21,     43.57,          1.21
        -12,          4,    7,         -8.59,          3.30,       1.36,      13.59,     44.83,          1.17
        -12,          5,    1,        -10.53,          3.30,       1.17,      11.66,     38.48,          2.37
        -12,          5,    2,         -9.47,          3.30,       1.23,      12.32,     40.63,          1.92
