[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
        0,          4,    4,         -0.22,          3.31,       2.65,      26.50,     87.64,          1.48
        0,          4,    5,          0.23,          3.31,       2.81,      28.14,     93.06,          1.52
        0,          4,    6,          0.56,          3.31,       2.95,      29.51,     97.57,          1.54
        0,          4,    7,          0.77,          3.31,       3.08,      30.78,    101.76,          1.53
        1,          1,    1,         -7.79,          3.31,       1.39,      13.93,     46.06,          0.74
        1,          1,    2,         -4.27,          3.31,       1.73,      17.26,     57.11,          1.12
        1,          1,    3,         -2.97,          3.31,       1.95,      19.47,     64.41,          1.24
        1,          1,    4,         -2.21,          3.31,       2.11,      21.10,     69.78,          1.30
        1,          1,    5,         -1.62,          3.31,       2.27,      22.67,     74.97,          1.34
        1,          1,    6,         -1.20,          3.31,       2.40,      24.01,     79.40,          1.36
        1,          1,    7,         -0.85,          3.31,       2.53,      25.33,     83.79,          1.37
        1,          2,    1,         -6.81,          3.31,       1.50,      14.99,     49.59,          0.81
        1,          2,    2,         -3.15,          3.31,       1.90,      19.04,     62.99,          1.24
        1,          2,    3,         -1.71,          3.31,       2.18,      21.73,     71.88,          1.40
        1,          2,    4,         -0.84,          3.31,       2.38,      23.84,     78.84,          1.50
        1,          2,    5,         -0.28,          3.31,       2.56,      25.56,     84.54,          1.54
        1,          2,    6,          0.13,          3.31,       2.71,      27.06,     89.50,          1.57
        1,          2,    7,          0.38,          3.31,       2.83,      28.31,     93.63,          1.56
        1,          3,    1,         -5.88,          3.31,       1.61,      16.07,     53.18,          0.87
        1,          3,    2,         -2.62,          3.31,       2.08,      20.81,     68.81,          1.21
        1,          3,    3,         -0.79,          3.31,       2.39,      23.87,     78.94,          1.51
        1,          3,    4,          0.05,          3.31,       2.62,      26.16,     86.51,          1.61
        1,          3,    5,          0.52,          3.31,       2.78,      27.81,     91.99,          1.65
        1,          3,    6,          0.86,          3.31,       2.92,      29.22,     96.64,          1.67
        1,          3,    7,          1.08,          3.31,       3.04,      30.37,    100.42,          1.67
        1,          4,    1,         -5.03,          3.31,       1.71,      17.16,     56.78,          0.95
        1,          4,    2,         -1.90,          3.31,       2.25,      22.50,     74.44,          1.27
        1,          4,    3,         -0.17,          3.31,       2.58,      25.85,     85.48,          1.55
        1,          4,    4,          0.61,          3.31,       2.81,      28.12,     92.99,          1.66
        1,          4,    5,          1.06,          3.31,       2.99,      29.84,     98.68,          1.70
        1,          4,    6,          1.39,          3.31,       3.13,      31.28,    103.44,          1.72
        1,          4,    7,          1.63,          3.31,       3.26,      32.63,    107.87,          1.73
        2,          1,    1,         -6.46,          3.31,       1.47,      14.70,     48.63,          0.91
        2,          1,    2,         -3.23,          3.31,       1.84,      18.46,     61.07,          1.27
        2,          1,    3,         -2.22,          3.31,       2.08,      20.77,     68.71,          1.34
        2,          1,    4,         -1.14,          3.31,       2.25,      22.55,     74.60,          1.51
        2,          1,    5,         -0.55,          3.31,       2.43,      24.26,     80.24,          1.56
        2,          1,    6,         -0.13,          3.31,       2.57,      25.72,     85.08,          1.58
        2,          1,    7,          0.22,          3.31,       2.71,      27.06,     89.51,          1.60
        2,          2,    1,         -5.45,          3.31,       1.58,      15.83,     52.38,          1.00
        2,          2,    2,         -2.09,          3.31,       2.04,      20.36,     67.33,          1.42
        2,          2,    3,         -0.64,          3.31,       2.33,      23.33,     77.16,          1.62
        2,          2,    4,         -0.04,          3.31,       2.56,      25.64,     84.79,          1.62
        2,          2,    5,          0.44,          3.31,       2.75,      27.53,     91.05,          1.64
        2,          2,    6,          1.22,          3.31,       2.91,      29.12,     96.32,          1.82
        2,          2,    7,          1.50,          3.31,       3.04,      30.40,    100.52,          1.84
        2,          3,    1,         -4.63,          3.31,       1.70,      17.04,     56.37,          1.05
        2,          3,    2,         -1.18,          3.31,       2.24,      22.33,     73.87,          1.52
        2,          3,    3,          0.29,          3.31,       2.58,      25.77,     85.21,          1.74
        2,          3,    4,          1.14,          3.31,       2.83,      28.28,     93.53,          1.86
        2,          3,    5,          1.61,          3.31,       3.00,      30.05,     99.38,          1.92
