[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -3,          1,    4,         -6.38,          3.31,       1.71,      17.06,     56.43,          0.70
       -3,          1,    5,         -5.42,          3.31,       1.84,      18.35,     60.70,          0.77
       -3,          1,    6,         -4.99,          3.31,       1.95,      19.45,     64.33,          0.78
       -3,          1,    7,         -4.62,          3.31,       2.05,      20.49,     67.77,          0.78
       -3,          2,    1,        -10.17,          3.31,       1.25,      12.49,     41.32,          0.55
       -3,          2,    2,         -6.95,          3.31,       1.53,      15.31,     50.62,          0.75
       -3,          2,    3,         -5.54,          3.31,       1.72,      17.22,     56.96,          0.84
       -3,          2,    4,         -4.66,          3.31,       1.89,      18.85,     62.36,          0.88
       -3,          2,    5,         -4.10,          3.31,       2.02,      20.20,     66.82,          0.90
       -3,          2,    6,         -3.70,          3.31,       2.14,      21.35,     70.62,          0.91
       -3,          2,    7,         -3.56,          3.31,       2.24,      22.36,     73.96,          0.88
       -3,          3,    1,         -9.69,          3.31,       1.32,      13.20,     43.67,          0.54
       -3,          3,    2,         -6.06,          3.31,       1.65,      16.46,     54.46,          0.80
       -3,          3,    3,         -4.65,          3.31,       1.87,      18.66,     61.71,          0.90
       -3,          3,    4,         -3.82,          3.31,       2.03,      20.28,     67.09,          0.95
       -3,          3,    5,         -3.36,          3.31,       2.16,      21.56,     71.32,          0.97
       -3,          3,    6,         -3.02,          3.31,       2.27,      22.68,     75.01,          0.97
       -3,          3,    7,         -2.79,          3.31,       2.37,      23.66,     78.27,          0.96
       -3,          4,    1,         -8.74,          3.31,       1.39,      13.90,     45.98,          0.60
       -3,          4,    2,         -5.69,          3.31,       1.75,      17.52,     57.96,          0.78
       -3,          4,    3,         -4.42,          3.31,       1.99,      19.86,     65.70,          0.86
       -3,          4,    4,         -3.30,          3.31,       2.15,      21.51,     71.14,          0.98
       -3,          4,    5,         -2.84,          3.31,       2.29,      22.87,     75.65,          1.00
       -3,          4,    6,         -2.51,          3.31,       2.40,      24.02,     79.45,          1.00
       -3,          4,    7,         -2.26,          3.31,       2.52,      25.18,     83.27,          1.00
       -2,          1,    1,        -10.02,          3.31,       1.24,      12.35,     40.85,          0.58
       -2,          1,    2,         -6.91,          3.31,       1.50,      15.00,     49.62,          0.79
       -2,          1,    3,         -5.64,          3.31,       1.67,      16.73,     55.33,          0.86
       -2,          1,    4,         -5.14,          3.31,       1.81,      18.14,     59.99,          0.84
       -2,          1,    5,         -4.65,          3.31,       1.95,      19.50,     64.50,          0.84
       -2,          1,    6,         -3.84,          3.31,       2.06,      20.60,     68.15,          0.93
       -2,          1,    7,         -3.48,          3.31,       2.17,      21.73,     71.87,          0.93
       -2,          2,    1,         -9.02,          3.31,       1.32,      13.15,     43.49,          0.63
       -2,          2,    2,         -5.78,          3.31,       1.63,      16.27,     53.81,          0.88
       -2,          2,    3,         -4.36,          3.31,       1.84,      18.43,     60.97,          0.98
       -2,          2,    4,         -3.50,          3.31,       2.02,      20.19,     66.77,          1.04
       -2,          2,    5,         -3.00,          3.31,       2.16,      21.57,     71.33,          1.05
       -2,          2,    6,         -2.80,          3.31,       2.28,      22.83,     75.50,          1.01
